TargetID	ProbeID	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	 Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval
NEGATIVE	670253	61.45955	0.3403955	56.85043	0.4675141	59.62813	0.670904	63.88091	0.2584746	65.75037	0.1666667	67.00521	0.358757	58.10804	0.6370056	59.28677	0.5225989
NEGATIVE	670347	65.2514	0.1723164	61.50621	0.2231638	68.44561	0.1793785	59.27411	0.5112994	71.03526	0.05084746	68.32983	0.3008475	61.3885	0.3926554	65.47301	0.1963277
NEGATIVE	670452	58.87827	0.5169492	56.00193	0.5310735	57.40686	0.8093221	56.24173	0.7457627	60.96694	0.4053672	58.56014	0.8333333	54.15643	0.8545198	60.22602	0.460452
NEGATIVE	730577	60.3208	0.4096045	55.23536	0.5960452	61.02811	0.5847458	57.91563	0.6087571	58.63876	0.5762712	70.81458	0.1892655	56.07229	0.75	55.52507	0.7627119
NEGATIVE	730612	65.68999	0.1553672	57.43559	0.440678	64.83884	0.3644068	59.66902	0.4816384	66.73282	0.1313559	68.94331	0.2584746	69.44047	0.08474576	59.01307	0.5423729
NEGATIVE	780044	58.4427	0.5508475	53.27911	0.7161017	57.10031	0.8276836	48.25335	0.9830508	55.4896	0.7853107	55.86438	0.9350283	64.72398	0.2076271	60.46625	0.4392655
NEGATIVE	780136	61.43333	0.3446328	58.96319	0.3460452	59.87688	0.6539548	54.1547	0.8403955	52.9206	0.8926554	64.33238	0.5225989	55.30843	0.7951977	53.3088	0.8813559
NEGATIVE	780577	62.32304	0.2937853	48.03897	0.9491525	69.56416	0.1426554	53.59613	0.8658192	51.54808	0.9336158	57.35016	0.8912429	56.96778	0.7019774	63.21806	0.2980226
NEGATIVE	780706	59.10722	0.5	55.98012	0.5367231	67.35099	0.2288136	67.16685	0.1115819	62.23678	0.3361582	68.95078	0.2570621	62.08928	0.3559322	60.70342	0.4180791
NEGATIVE	830068	56.72412	0.6666667	55.51904	0.5762712	72.52219	0.07768361	68.94875	0.07062147	58.97487	0.5437853	70.79197	0.190678	65.95526	0.1652542	55.03633	0.7966102
NEGATIVE	840296	46.06351	0.9943503	49.86692	0.8997175	55.43086	0.9138418	53.3992	0.8728814	49.61391	0.970339	54.13955	0.960452	54.40329	0.8418079	45.56685	0.9943503
NEGATIVE	840431	62.99334	0.2740113	56.4631	0.5042373	66.71517	0.259887	65.53619	0.1793785	67.57758	0.1144068	64.70039	0.4985876	61.77111	0.3757062	61.6991	0.3559322
NEGATIVE	840521	54.82404	0.7909604	52.74496	0.7570621	58.56837	0.7528248	56.60247	0.7132769	52.78006	0.9025424	61.21734	0.7175141	55.04711	0.8121469	64.88598	0.2175141
NEGATIVE	870504	61.66883	0.3262712	55.76786	0.5522599	68.91042	0.1624294	71.40694	0.03813559	64.75969	0.1963277	74.10025	0.09463277	58.58702	0.59887	63.90361	0.259887
NEGATIVE	940121	57.67616	0.6158192	61.96994	0.1935028	54.47783	0.9392655	57.67538	0.6285311	55.03261	0.8079096	64.72771	0.4943503	58.23652	0.6257062	52.09771	0.9194915
NEGATIVE	940136	61.01039	0.3686441	51.24201	0.84887	60.17243	0.6370056	52.87584	0.8855932	56.95322	0.6892655	63.2366	0.5974576	64.49377	0.2118644	58.66851	0.5677966
NEGATIVE	940746	53.79475	0.8559322	53.18496	0.7259887	59.54981	0.6765537	51.74032	0.920904	51.16809	0.9392655	61.40338	0.7062147	57.6114	0.6652542	54.17388	0.8403955
NEGATIVE	990014	58.9813	0.509887	52.21951	0.7951977	72.3295	0.08050848	57.19122	0.6652542	53.68121	0.8785311	62.50099	0.6370056	61.32008	0.3968927	57.94276	0.6214689
NEGATIVE	990019	58.60441	0.5367231	58.67778	0.3629943	62.04546	0.5282486	60.59632	0.4251412	62.49083	0.3163842	59.73083	0.7951977	58.19588	0.6285311	67.29305	0.1327684
NEGATIVE	990056	68.91974	0.08050848	64.00048	0.1087571	64.57439	0.3799435	62.21347	0.3389831	66.15456	0.1525424	70.16966	0.2076271	61.13892	0.4067796	58.02757	0.6129944
NEGATIVE	990707	66.05765	0.1355932	50.04869	0.8940678	59.3502	0.6949152	56.72414	0.7033898	58.81381	0.5607345	62.74483	0.6228814	59.0848	0.5579096	59.29929	0.5211864
