PROBE_ID	SYMBOL	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval						
ILMN_1701011	ABCA6	58.51617	0.5437853	54.43995	0.6567796	75.05537	0.03813559	64.10512	0.2387006	131.8749	0	186.9624	0	131.8015	0	174.9876	0						
ILMN_1729894	ABCA7	58.9745	0.509887	51.616	0.8276836	58.1132	0.7740113	57.919	0.6073446	59.73428	0.4887006	59.33662	0.8149717	61.63339	0.3827684	54.30212	0.8319209						
ILMN_1660203	ABCA7	58.09341	0.5720339	58.16055	0.3926554	57.85933	0.789548	64.89117	0.2019774	57.73979	0.6341808	62.78268	0.6186441	64.69549	0.2076271	53.85627	0.8587571						
ILMN_1743205	ABCA7	150.1009	0	140.7176	0	158.2449	0	136.0657	0	291.3887	0	331.4362	0	278.5786	0	324.1985	0						
ILMN_1796801	ABCA8	158.2275	0	136.1247	0	178.67	0	137.2906	0	794.4713	0	940.5816	0	784.5129	0	972.5488	0						
ILMN_1668446	ABCA9	63.51632	0.2471751	67.76191	0.04237288	68.54989	0.1751412	69.84343	0.05508475	146.2729	0	155.9732	0	128.1987	0	156.7342	0						
ILMN_1720501	ABCA9	70.24357	0.0579096	69.08145	0.03248588	68.10312	0.190678	71.25001	0.03954802	181.1003	0	193.4832	0	141.3999	0	170.6866	0						
ILMN_1812070	ABCB1	66.8664	0.1158192	62.89125	0.1497175	66.47823	0.2754237	74.2761	0.01694915	209.6364	0	269.5448	0	214.5342	0	245.8099	0						
ILMN_1665730	ABCB10	307.9434	0	283.9013	0	490.2981	0	294.3967	0	198.5574	0	208.9082	0	161.4642	0	197.8348	0						
ILMN_1689082	ABCB11	59.89495	0.4435028	54.4496	0.6539548	59.84107	0.6539548	60.37658	0.4336158	57.60804	0.6525424	66.87782	0.3714689	66.81486	0.1426554	61.90263	0.3389831						
